"Start Time","Track","Series","Hosted Session Name"
"2019.08.27 5:40 PM GMT","Sebring International Raceway - International","Hosted iRacing","Swedish iRacing League"



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","Höstsäsong 2019!","45116","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","100","Porsche 919","1410","LMP1","59177","59177","Andreas Olsson","1","115","0","Running","-00.000","10","","1:43.641","1:40.421","4","32","5","0","100","0"
"2","100","Porsche 919","1410","LMP1","290742","290742","Magnus Vallström","2","166","0","Running","-27.739","22","","1:44.508","1:40.469","4","32","7","0","100","0"
"3","93","Ferrari 488 GTE","1411","GTE","143191","143191","Wilhelm Wiberg","6","282","0","Running","-3 L","0","","1:58.323","1:55.672","3","29","11","0","100","0"
"4","109","BMW M8 GTE","1411","GTE","184959","184959","Kim Salvesen","10","211","0","Running","-4 L","0","","1:58.512","1:55.464","3","28","8","0","100","0"
"5","93","Ferrari 488 GTE","1411","GTE","143617","143617","Henrik Lindoff","9","208","0","Running","-4 L","0","","1:58.523","1:56.050","3","28","9","0","100","0"
"6","93","Ferrari 488 GTE","1411","GTE","42739","42739","Robin Östlund","12","229","0","Running","-4 L","0","","1:58.806","1:56.447","8","28","7","0","100","0"
"7","93","Ferrari 488 GTE","1411","GTE","231076","231076","Mikael Engstroem","8","200","0","Running","-4 L","0","","1:58.977","1:55.901","3","28","8","0","100","0"
"8","93","Ferrari 488 GTE","1411","GTE","124781","124781","Marcus Simonsson","11","292","0","Running","-4 L","0","","1:59.119","1:56.232","18","28","8","0","100","0"
"9","93","Ferrari 488 GTE","1411","GTE","138213","138213","Victor Dravegard","16","223","0","Running","-4 L","0","","1:59.182","1:56.493","10","28","10","0","100","0"
"10","109","BMW M8 GTE","1411","GTE","37785","37785","Jonas Bodin","7","277","0","Running","-4 L","0","","1:59.191","1:55.629","3","28","10","0","100","0"
