"Start Time","Track","Series","Hosted Session Name"
"2019.09.10 5:40 PM GMT","Suzuka International Racing Course - Grand Prix","Hosted iRacing","Swedish iRacing League"



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","Höstsäsong 2019!","45116","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","109","BMW M8 GTE","1411","GTE","37785","37785","Jonas Bodin","2","277","0","Running","-00.000","1","","1:56.932","1:54.350","3","29","6","0","100","0"
"2","93","Ferrari 488 GTE","1411","GTE","292923","292923","Stellan Lindeberg","5","296","0","Running","-04.606","0","","1:57.091","1:54.522","3","29","8","0","100","0"
"3","93","Ferrari 488 GTE","1411","GTE","143191","143191","Wilhelm Wiberg","3","282","0","Running","-05.230","0","","1:57.113","1:54.228","2","29","15","0","100","0"
"4","102","Porsche 911 RSR","1411","GTE","155240","155240","Robin Sundkvist","1","8","0","Running","-14.485","28","","1:57.432","1:53.855","2","29","6","0","100","0"
"5","93","Ferrari 488 GTE","1411","GTE","124781","124781","Marcus Simonsson","12","292","0","Running","-16.430","0","","1:57.499","1:55.138","9","29","13","0","100","0"
"6","93","Ferrari 488 GTE","1411","GTE","42739","42739","Robin Östlund","8","229","0","Running","-23.292","0","","1:57.735","1:55.204","4","29","5","0","100","0"
"7","93","Ferrari 488 GTE","1411","GTE","210826","210826","Magnus Asp","6","203","0","Running","-24.744","0","","1:57.785","1:55.087","7","29","6","0","100","0"
"8","93","Ferrari 488 GTE","1411","GTE","138213","138213","Victor Dravegard","14","223","0","Running","-24.993","0","","1:57.794","1:55.203","10","29","13","0","100","0"
"9","102","Porsche 911 RSR","1411","GTE","115216","115216","Karl-Johan Hagelin","13","197","0","Running","-28.648","0","","1:57.920","1:55.508","3","29","8","0","100","0"
"10","102","Porsche 911 RSR","1411","GTE","59177","59177","Andreas Olsson","7","115","0","Running","-29.771","0","","1:57.959","1:55.321","3","29","13","0","100","0"
"11","102","Porsche 911 RSR","1411","GTE","355756","355756","Jocke Sjöö","15","213","0","Running","-30.645","0","","1:57.989","1:55.379","4","29","8","0","100","0"
"12","109","BMW M8 GTE","1411","GTE","184959","184959","Kim Salvesen","10","211","0","Running","-31.308","0","","1:58.012","1:55.148","5","29","13","0","100","0"
"13","93","Ferrari 488 GTE","1411","GTE","217723","217723","Kimm Johansson","20","214","0","Running","-47.208","0","","1:58.560","1:55.680","5","29","12","0","100","0"
"14","102","Porsche 911 RSR","1411","GTE","375955","375955","Mikael Johansson4","17","201","0","Running","-56.331","0","","1:58.874","1:55.634","6","29","11","0","100","0"
"15","109","BMW M8 GTE","1411","GTE","108438","108438","Kent Suroto","19","248","0","Running","-59.988","0","","1:59.000","1:56.039","3","29","3","0","100","0"
"16","93","Ferrari 488 GTE","1411","GTE","209962","209962","Linus Areng","16","144","0","Running","-1:09.202","0","","1:59.318","1:55.427","3","29","13","0","100","0"
"17","93","Ferrari 488 GTE","1411","GTE","80693","80693","Mattias Norling","22","210","0","Running","-1:17.552","0","","1:59.606","1:56.436","5","29","7","0","100","0"
"18","72","Mercedes AMG GT3","1412","GT3","175014","175014","Joachim Ljunggren","26","364","0","Running","-1 L","0","","2:01.451","1:58.409","2","28","3","0","100","0"
"19","73","Audi R8 LMS","1412","GT3","379026","379026","Jesper Fogelstrand","25","304","0","Running","-1 L","0","","2:01.924","1:58.681","12","28","3","0","100","0"
