"Start Time","Track","Series","Hosted Session Name"
"2019.09.24 5:40 PM GMT","Road America - Full Course","Hosted iRacing","Swedish iRacing League"



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","Höstsäsong 2019!","45116","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","1411","GTE","292923","292923","Stellan Lindeberg","3","296","0","Running","-00.000","18","","2:01.581","1:58.984","5","28","1","0","100","0"
"2","93","Ferrari 488 GTE","1411","GTE","42739","42739","Robin Östlund","1","229","0","Running","-05.860","10","","2:01.790","1:59.053","2","28","11","0","100","0"
"3","102","Porsche 911 RSR","1411","GTE","115216","115216","Karl-Johan Hagelin","8","197","0","Running","-11.509","0","","2:01.992","1:58.666","2","28","3","0","100","0"
"4","93","Ferrari 488 GTE","1411","GTE","210826","210826","Magnus Asp","6","203","0","Running","-17.667","0","","2:02.813","1:59.265","7","28","8","0","100","0"
"5","93","Ferrari 488 GTE","1411","GTE","290742","290742","Magnus Vallström","13","166","0","Running","-17.906","0","","2:02.220","1:59.129","10","28","9","0","100","0"
"6","93","Ferrari 488 GTE","1411","GTE","124781","124781","Marcus Simonsson","9","292","29","Disqualified","-19.465","0","","2:02.276","1:59.388","2","28","20","0","100","0"
"7","102","Porsche 911 RSR","1411","GTE","59177","59177","Andreas Olsson","11","115","0","Running","-23.805","0","","2:02.431","1:59.266","4","28","10","0","100","0"
"8","92","Ford GT - 2017","1411","GTE","261289","261289","Hampus Baaz","19","8","0","Running","-30.257","0","","2:02.661","1:59.005","10","28","15","0","100","0"
"9","92","Ford GT - 2017","1411","GTE","293441","293441","Andreas Dahlström","14","116","0","Running","-33.456","0","","2:02.775","1:59.100","10","28","13","0","100","0"
"10","102","Porsche 911 RSR","1411","GTE","375955","375955","Mikael Johansson4","16","201","0","Running","-52.461","0","","2:03.454","1:59.998","2","28","6","0","100","0"
"11","93","Ferrari 488 GTE","1411","GTE","80693","80693","Mattias Norling","18","210","0","Running","-56.006","0","","2:03.580","2:00.544","9","28","3","0","100","0"
"12","109","BMW M8 GTE","1411","GTE","290615","290615","Jonas Simonsson","10","202","0","Running","-1:05.705","0","","2:03.927","1:59.875","11","28","14","0","100","0"
"13","93","Ferrari 488 GTE","1411","GTE","209962","209962","Linus Areng","15","144","0","Running","-1:07.514","0","","2:03.992","1:59.245","2","28","11","0","100","0"
"14","109","BMW M8 GTE","1411","GTE","37785","37785","Jonas Bodin","4","277","0","Running","-1:07.550","0","","2:03.993","1:58.846","2","28","13","0","100","0"
"15","109","BMW M8 GTE","1411","GTE","108438","108438","Kent Suroto","17","248","0","Running","-1:13.519","0","","2:03.153","2:00.199","2","28","0","0","100","0"
"16","109","BMW M8 GTE","1411","GTE","184959","184959","Kim Salvesen","5","211","0","Running","-1 L","0","","2:02.682","1:58.982","2","27","11","0","100","0"
"17","72","Mercedes AMG GT3","1412","GT3","366445","366445","Andreas Forss","21","305","0","Running","-1 L","0","","2:06.714","2:02.059","2","27","6","0","100","0"
"18","72","Mercedes AMG GT3","1412","GT3","378070","378070","Rickard Karlsson","23","301","0","Running","-1 L","0","","2:06.720","2:02.458","4","27","8","0","100","0"
