"Start Time","Track","Series","Hosted Session Name"
"2019.10.22 5:40 PM GMT","Circuit of the Americas - Grand Prix","Hosted iRacing","Swedish iRacing League"



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","Höstsäsong 2019!","45116","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","109","BMW M8 GTE","1411","GTE","37785","37785","Jonas Bodin","1","277","0","Running","-00.000","27","","2:02.194","1:59.422","2","28","14","0","100","0"
"2","93","Ferrari 488 GTE","1411","GTE","143191","143191","Wilhelm Wiberg","2","282","0","Running","-01.534","0","","2:02.249","1:59.621","2","28","15","0","100","0"
"3","93","Ferrari 488 GTE","1411","GTE","231076","231076","Mikael Engstroem","3","200","0","Running","-02.065","0","","2:02.268","1:59.813","2","28","15","0","100","0"
"4","109","BMW M8 GTE","1411","GTE","184959","184959","Kim Salvesen","4","211","0","Running","-05.010","0","","2:02.373","1:59.810","2","28","13","0","100","0"
"5","93","Ferrari 488 GTE","1411","GTE","290742","290742","Magnus Vallström","5","166","0","Running","-13.300","0","","2:02.669","2:00.175","3","28","12","0","100","0"
"6","93","Ferrari 488 GTE","1411","GTE","138213","138213","Victor Dravegard","9","223","0","Running","-18.557","0","","2:02.857","2:00.491","3","28","15","0","100","0"
"7","102","Porsche 911 RSR","1411","GTE","355756","355756","Jocke Sjöö","10","213","0","Running","-28.529","1","","2:03.213","2:00.847","2","28","8","0","100","0"
"8","92","Ford GT - 2017","1411","GTE","261289","261289","Hampus Baaz","13","25","0","Running","-32.437","0","","2:03.352","2:00.930","3","28","6","0","100","0"
"9","102","Porsche 911 RSR","1411","GTE","140126","140126","Sebastian Witkowski","20","420","0","Running","-56.202","0","","2:04.201","2:01.515","4","28","14","0","100","0"
"10","109","BMW M8 GTE","1411","GTE","108438","108438","Kent Suroto","17","248","0","Running","-1:17.167","0","","2:04.950","2:02.278","3","28","3","0","100","0"
"11","93","Ferrari 488 GTE","1411","GTE","80693","80693","Mattias Norling","15","210","0","Running","-1:30.272","0","","2:05.418","2:02.325","4","28","11","0","100","0"
"12","93","Ferrari 488 GTE","1411","GTE","342186","342186","Alessandro Pontecorvi","12","26","0","Running","-1:52.141","0","","2:04.264","2:02.040","3","28","8","0","100","0"
"13","93","Ferrari 488 GTE","1411","GTE","124781","124781","Marcus Simonsson","6","292","29","Disqualified","-1 L","0","","2:02.924","2:00.578","4","27","18","0","100","0"
"14","93","Ferrari 488 GTE","1411","GTE","42739","42739","Robin Östlund","8","229","29","Disqualified","-1 L","0","","2:03.026","2:00.253","7","27","18","0","100","0"
"15","72","Mercedes AMG GT3","1412","GT3","175014","175014","Joachim Ljunggren","21","364","0","Running","-1 L","0","","2:06.990","2:03.582","2","27","1","0","100","0"
"16","72","Mercedes AMG GT3","1412","GT3","378070","378070","Rickard Karlsson","24","301","0","Running","-1 L","0","","2:07.640","2:03.952","11","27","14","0","100","0"
"17","73","Audi R8 LMS","1412","GT3","379026","379026","Jesper Fogelstrand","25","304","0","Running","-1 L","0","","2:07.674","2:04.659","10","27","14","0","100","0"
"18","72","Mercedes AMG GT3","1412","GT3","375830","375830","Magnus Johansson","22","306","0","Running","-1 L","0","","2:08.220","2:04.839","14","27","15","0","100","0"
"19","73","Audi R8 LMS","1412","GT3","319276","319276","Harri Kjellin","23","375","0","Running","-1 L","0","","2:08.235","2:04.521","10","27","16","0","100","0"
"20","73","Audi R8 LMS","1412","GT3","349751","349751","Robert Johansson4","26","324","0","Running","-1 L","0","","2:09.915","2:04.982","10","27","7","0","100","0"
"21","72","Mercedes AMG GT3","1412","GT3","233357","233357","Ola Särnkvist","27","311","0","Running","-1 L","0","","2:10.429","2:05.759","2","27","8","0","100","0"
"22","93","Ferrari 488 GTE","1411","GTE","217723","217723","Kimm Johansson","14","214","0","Running","-2 L","0","","2:15.275","2:02.277","17","26","13","0","100","0"
"23","94","Ferrari 488 GT3","1412","GT3","324435","324435","Philip Larsson","28","318","29","Disqualified","-3 L","0","","2:11.418","2:07.136","5","25","17","0","100","0"
"24","72","Mercedes AMG GT3","1412","GT3","363348","363348","Jonas Aronsson","30","401","0","Running","-3 L","0","","2:13.442","2:09.740","4","25","13","0","100","0"
"25","92","Ford GT - 2017","1411","GTE","293441","293441","Andreas Dahlström","7","116","29","Disqualified","-10 L","0","","2:03.537","2:00.387","2","18","18","0","100","0"
"26","92","Ford GT - 2017","1411","GTE","159550","159550","Robert B Eriksson","18","224","29","Disqualified","-11 L","0","","2:07.037","2:02.740","6","17","17","0","100","0"
"27","93","Ferrari 488 GTE","1411","GTE","210826","210826","Magnus Asp","16","203","29","Disqualified","-13 L","0","","2:03.599","2:01.866","3","15","17","0","100","0"
"28","72","Mercedes AMG GT3","1412","GT3","340985","340985","Fredrik Kalle Karlsson","29","303","29","Disqualified","-16 L","0","","2:09.853","2:07.209","12","12","17","0","100","0"
"29","93","Ferrari 488 GTE","1411","GTE","292923","292923","Stellan Lindeberg","19","296","32","Disconnected","-26 L","0","","2:02.327","","","2","2","0","100","0"
"30","109","BMW M8 GTE","1411","GTE","290615","290615","Jonas Simonsson","11","202","32","Disconnected","-28 L","0","","00.000","","","0","2","0","100","0"
