"Start Time","Track","Series","Hosted Session Name"
"2019.11.26 6:40 PM GMT","Circuit Gilles Villeneuve","Hosted iRacing","Swedish iRacing League"



"League Name","League ID","League Season","League Season ID","Points System"
"Swedish iRacing League","2790","Höstsäsong 2019!","45116","None"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","League Points","Max Fuel Fill%","Weight Penalty (KG)"
"1","93","Ferrari 488 GTE","1411","GTE","143191","143191","Wilhelm Wiberg","3","282","0","Running","-00.000","23","","1:34.431","1:32.318","4","35","2","0","100","0"
"2","93","Ferrari 488 GTE","1411","GTE","124781","124781","Marcus Simonsson","1","292","0","Running","-02.912","10","","1:34.434","1:32.259","4","35","3","0","100","0"
"3","102","Porsche 911 RSR","1411","GTE","115216","115216","Karl-Johan Hagelin","4","197","0","Running","-10.735","2","","1:34.737","1:32.785","4","35","3","0","100","0"
"4","93","Ferrari 488 GTE","1411","GTE","138213","138213","Victor Dravegard","5","223","0","Running","-13.601","0","","1:34.807","1:32.896","2","35","6","0","100","0"
"5","102","Porsche 911 RSR","1411","GTE","140126","140126","Sebastian Witkowski","6","420","0","Running","-24.426","0","","1:35.129","1:32.908","3","35","3","0","100","0"
"6","109","BMW M8 GTE","1411","GTE","37785","37785","Jonas Bodin","7","277","0","Running","-25.209","0","","1:35.151","1:32.392","2","35","9","0","100","0"
"7","93","Ferrari 488 GTE","1411","GTE","42739","42739","Robin Östlund","11","229","0","Running","-31.105","0","","1:35.337","1:32.659","3","35","10","0","100","0"
"8","93","Ferrari 488 GTE","1411","GTE","231076","231076","Mikael Engstroem","9","200","0","Running","-42.987","0","","1:35.699","1:32.785","3","35","10","0","100","0"
"9","92","Ford GT - 2017","1411","GTE","261289","261289","Hampus Baaz","8","12","0","Running","-43.242","0","","1:35.729","1:32.861","3","35","16","0","100","0"
"10","109","BMW M8 GTE","1411","GTE","108438","108438","Kent Suroto","14","248","0","Running","-1:18.296","0","","1:35.387","1:33.720","3","35","0","0","100","0"
"11","93","Ferrari 488 GTE","1411","GTE","80693","80693","Mattias Norling","13","210","0","Running","-1:32.827","0","","1:37.083","1:33.154","3","35","4","0","100","0"
"12","72","Mercedes AMG GT3","1412","GT3","175014","175014","Joachim Ljunggren","16","364","0","Running","-1 L","0","","1:38.717","1:35.637","2","34","0","0","100","0"
"13","73","Audi R8 LMS","1412","GT3","379026","379026","Jesper Fogelstrand","17","304","0","Running","-1 L","0","","1:38.965","1:35.601","3","34","3","0","100","0"
"14","72","Mercedes AMG GT3","1412","GT3","391105","391105","Albin Svensson","19","27","0","Running","-1 L","0","","1:39.195","1:35.992","4","34","0","0","100","0"
"15","94","Ferrari 488 GT3","1412","GT3","412046","412046","Rasmus Aberg","20","39","0","Running","-1 L","0","","1:39.307","1:36.129","5","34","1","0","100","0"
"16","72","Mercedes AMG GT3","1412","GT3","378070","378070","Rickard Karlsson","18","301","0","Running","-1 L","0","","1:39.428","1:35.401","2","34","3","0","100","0"
"17","72","Mercedes AMG GT3","1412","GT3","375830","375830","Magnus Johansson","21","306","0","Running","-1 L","0","","1:39.506","1:35.828","3","34","0","0","100","0"
"18","94","Ferrari 488 GT3","1412","GT3","411944","411944","Richard Lindström","29","17","0","Running","-1 L","0","","1:39.950","1:36.397","3","34","6","0","100","0"
"19","72","Mercedes AMG GT3","1412","GT3","340985","340985","Fredrik Kalle Karlsson","26","303","0","Running","-2 L","0","","1:40.156","1:36.238","3","33","14","0","100","0"
"20","73","Audi R8 LMS","1412","GT3","47716","47716","Andreas Lewau","24","302","0","Running","-2 L","0","","1:40.223","1:36.213","2","33","15","0","100","0"
"21","73","Audi R8 LMS","1412","GT3","248617","248617","Anders Wallgren","23","319","0","Running","-2 L","0","","1:40.340","1:36.494","3","33","8","0","100","0"
"22","102","Porsche 911 RSR","1411","GTE","355756","355756","Jocke Sjöö","15","213","0","Running","-2 L","0","","1:43.027","1:33.598","3","33","14","0","100","0"
"23","72","Mercedes AMG GT3","1412","GT3","363348","363348","Jonas Aronsson","28","401","32","Disconnected","-9 L","0","","1:45.025","1:38.880","2","26","10","0","100","0"
"24","73","Audi R8 LMS","1412","GT3","319276","319276","Harri Kjellin","22","375","32","Disconnected","-26 L","0","","1:41.376","1:36.474","2","9","6","0","100","0"
"25","73","Audi R8 LMS","1412","GT3","349751","349751","Robert Johansson4","25","324","0","Running","-28 L","0","","1:42.592","1:36.042","3","7","7","0","100","0"
"26","73","Audi R8 LMS","1412","GT3","278525","278525","Lars Rystedt","27","399","32","Disconnected","-31 L","0","","1:47.788","1:37.536","4","4","2","0","100","0"
"27","93","Ferrari 488 GTE","1411","GTE","209962","209962","Linus Areng","12","144","32","Disconnected","-31 L","0","","1:36.258","1:33.190","2","4","6","0","100","0"
"28","93","Ferrari 488 GTE","1411","GTE","292923","292923","Stellan Lindeberg","2","296","32","Disconnected","-31 L","0","","1:36.688","1:41.178","3","4","6","0","100","0"
"29","93","Ferrari 488 GTE","1411","GTE","217723","217723","Kimm Johansson","10","214","32","Disconnected","-32 L","0","","1:36.024","1:33.268","3","3","4","0","100","0"
